PdfType: central
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2
-3.602237e-04 3.398959e-06
-3.506258e-04 3.384607e-06
-3.407193e-04 3.369800e-06
-3.328456e-04 3.358032e-06
-3.305093e-04 3.354539e-06
-3.191677e-04 3.337584e-06
-3.074889e-04 3.320126e-06
-2.954826e-04 3.302177e-06
-2.831592e-04 3.283753e-06
-2.705289e-04 3.264872e-06
-2.576037e-04 3.245551e-06
-2.443947e-04 3.225808e-06
-2.309143e-04 3.205655e-06
-2.171749e-04 3.185113e-06
-2.031883e-04 3.164204e-06
-1.889670e-04 3.142948e-06
-1.745232e-04 3.121355e-06
-1.598688e-04 3.099448e-06
-1.450155e-04 3.077244e-06
-1.299749e-04 3.054759e-06
-1.147581e-04 3.032008e-06
-9.937573e-05 3.009016e-06
-4.522502e-04 4.326496e-06
-4.427238e-04 4.310952e-06
-4.328307e-04 4.294803e-06
-4.225723e-04 4.278062e-06
-4.119512e-04 4.260726e-06
-4.009723e-04 4.242809e-06
-3.896403e-04 4.224314e-06
-3.806335e-04 4.209617e-06
-3.779611e-04 4.205256e-06
-3.649874e-04 4.184080e-06
-3.516282e-04 4.162278e-06
-3.378941e-04 4.139864e-06
-3.237974e-04 4.116859e-06
-3.093498e-04 4.093275e-06
-2.945646e-04 4.069145e-06
-2.794551e-04 4.044487e-06
-2.640351e-04 4.019322e-06
-2.483186e-04 3.993672e-06
-2.323194e-04 3.967562e-06
-2.160518e-04 3.941008e-06
-1.995297e-04 3.914046e-06
-1.827667e-04 3.886688e-06
-1.657763e-04 3.858957e-06
-1.485716e-04 3.830880e-06
-1.311652e-04 3.802473e-06
-1.135696e-04 3.773753e-06
-5.174331e-04 5.452764e-06
-5.065309e-04 5.433255e-06
-4.952091e-04 5.412994e-06
-4.834690e-04 5.391982e-06
-4.713142e-04 5.370230e-06
-4.587499e-04 5.347744e-06
-4.457813e-04 5.324534e-06
-4.354739e-04 5.306089e-06
-4.324156e-04 5.300614e-06
-4.175683e-04 5.274042e-06
-4.022799e-04 5.246683e-06
-3.865626e-04 5.218558e-06
-3.704301e-04 5.189683e-06
-3.538961e-04 5.160096e-06
-3.369759e-04 5.129815e-06
-3.196845e-04 5.098868e-06
-3.020378e-04 5.067287e-06
-2.840516e-04 5.035099e-06
-2.657422e-04 5.002331e-06
-2.471255e-04 4.969017e-06
-2.282176e-04 4.935178e-06
-2.090342e-04 4.900846e-06
-1.895902e-04 4.866051e-06
-1.699012e-04 4.830812e-06
-1.499815e-04 4.795162e-06
-1.298452e-04 4.759127e-06
-5.922885e-04 6.914903e-06
-5.798062e-04 6.890284e-06
-5.668427e-04 6.864713e-06
-5.534009e-04 6.838200e-06
-5.394842e-04 6.810753e-06
-5.250984e-04 6.782378e-06
-5.102498e-04 6.753090e-06
-4.984483e-04 6.729813e-06
-4.949466e-04 6.722909e-06
-4.779472e-04 6.689377e-06
-4.604426e-04 6.654852e-06
-4.424469e-04 6.619356e-06
